measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,battery_pack_voltage__1363,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,control_module_voltage__1371,das_battery_voltage__1369,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,interior_temp__1366,module_temp_1__321,program_codeset__1373,resistor_box_3_temp__1370,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,vcm_above_threshold__1372,system_id
2010-05-24 01:11:00,5.053,0.132,123.352,14.073,,,,,,,,,,,,,,,,,,,386.714,0.0089999999999999,1.72,0.016,,,,,,,,14.247,,,,,,,,,,4
2010-05-24 01:12:00,5.057,0.1759999999999999,123.433,14.351,,,,,,,,,,,,,,,,,,,377.425,0.007,1.632,0.012,,,,,,,,14.323,,,,,,,,,,4
2010-05-24 01:13:00,5.052,-0.017,123.364,14.118,,,,,,,,,,,,,,,,,,,316.82,0.007,1.68,0.012,,,,,,,,14.239,,,,,,,,,,4
2010-05-24 01:14:00,5.056,0.0219999999999999,123.455,13.566,,,,,,,,,,,,,,,,,,,315.268,0.007,1.608,0.012,,,,,,,,14.089,,,,,,,,,,4
2010-05-24 01:15:00,5.056,0.2359999999999999,123.415,13.259,,,,,,,,,,,,,,,,,,,317.901,0.008,1.918,0.014,,,,,,,,14.118,,,,,,,,,,4
2010-05-24 01:16:00,5.058,-0.0879999999999999,123.396,13.287,,,,,,,,,,,,,,,,,,,314.945,0.007,1.768,0.012,,,,,,,,14.097,,,,,,,,,,4
2010-05-24 01:17:00,5.052,-0.0219999999999999,123.448,13.24,,,,,,,,,,,,,,,,,,,324.446,0.0089999999999999,1.662,0.014,,,,,,,,13.983,,,,,,,,,,4
2010-05-24 01:18:00,5.055,0.0219999999999999,123.473,13.201,,,,,,,,,,,,,,,,,,,332.207,0.007,1.804,0.014,,,,,,,,13.979,,,,,,,,,,4
2010-05-24 01:19:00,5.055,0.1479999999999999,123.422,13.18,,,,,,,,,,,,,,,,,,,301.908,0.007,1.674,0.012,,,,,,,,13.983,,,,,,,,,,4
2010-05-24 01:20:00,5.051,0.066,123.388,13.33,,,,,,,,,,,,,,,,,,,280.034,0.007,1.752,0.012,,,,,,,,14.029,,,,,,,,,,4
2010-05-24 01:21:00,5.056,0.165,123.499,13.531,,,,,,,,,,,,,,,,,,,254.653,0.006,1.758,0.01,,,,,,,,14.081,,,,,,,,,,4
2010-05-24 01:22:00,5.052,0.137,123.443,13.367,,,,,,,,,,,,,,,,,,,255.276,0.0089999999999999,1.416,0.012,,,,,,,,14.134,,,,,,,,,,4
2010-05-24 01:23:00,5.059,-0.033,123.503,13.306,,,,,,,,,,,,,,,,,,,241.174,0.008,1.434,0.012,,,,,,,,14.195,,,,,,,,,,4
2010-05-24 01:24:00,5.053,0.1429999999999999,123.436,13.231,,,,,,,,,,,,,,,,,,,265.911,0.0089999999999999,1.792,0.016,,,,,,,,14.245,,,,,,,,,,4
2010-05-24 01:25:00,5.055,0.0,123.464,13.278,,,,,,,,,,,,,,,,,,,252.008,0.005,1.648,0.008,,,,,,,,14.247,,,,,,,,,,4
2010-05-24 01:26:00,5.057,0.4069999999999999,123.467,13.311,,,,,,,,,,,,,,,,,,,266.575,0.006,1.804,0.01,,,,,,,,14.208,,,,,,,,,,4
2010-05-24 01:27:00,5.06,0.269,123.445,13.461,,,,,,,,,,,,,,,,,,,283.529,0.006,1.728,0.01,,,,,,,,14.248,,,,,,,,,,4
