measured_on,ac_current__758,ac_power__752,ac_volts__757,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,system_id
2018-09-10 02:31:00,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,50
2018-09-10 02:32:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:33:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:34:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:35:00,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,50
2018-09-10 02:36:00,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,50
2018-09-10 02:37:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:38:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:39:00,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,50
2018-09-10 02:40:00,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,50
2018-09-10 02:41:00,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,50
2018-09-10 02:42:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:43:00,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,50
2018-09-10 02:44:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:45:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:46:00,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,50
2018-09-10 02:47:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:48:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:49:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:50:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:51:00,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,50
2018-09-10 02:52:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:53:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:54:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:55:00,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:56:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:57:00,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:58:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 02:59:00,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,50
2018-09-10 03:00:00,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,50
2018-09-10 03:01:00,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,50
2018-09-10 03:02:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 03:03:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 03:04:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 03:05:00,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,50
2018-09-10 03:06:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,50
2018-09-10 03:07:00,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,24.0,,,50
