measured_on,ac_current__758,ac_power_1__767,ac_power__752,ac_volts__757,das_battery_voltage__769,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_2__761,poa_irradiance__750,system_id
2018-10-12 01:37:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:38:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:39:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:40:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:41:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:42:00,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,50
2018-10-12 01:43:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:44:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:45:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:46:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:47:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:48:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:49:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:50:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:51:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:52:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 01:53:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:54:00,0.0,,,0.0,,,,0.0,0.0,,,,,,50
2018-10-12 01:55:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:56:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:57:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:58:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 01:59:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:00:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:01:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:02:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:03:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:04:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:05:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:06:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,1615.0,50
2018-10-12 02:07:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:08:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:09:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:10:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
