measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_1__760,module_temp_2__761,system_id
2018-12-14 01:41:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:42:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:43:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:44:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:45:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:46:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:47:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:48:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:49:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:50:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:51:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:52:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:53:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:54:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:55:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:56:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:57:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 01:58:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 01:59:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:00:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-12-14 02:01:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:02:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:03:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:04:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:05:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:06:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:07:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:08:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:09:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:10:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:11:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:12:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:13:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:14:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:15:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:16:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:17:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,50
2018-12-14 02:18:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:19:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:20:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:21:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:22:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:23:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,50
2018-12-14 02:24:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:25:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:26:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:27:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:28:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:29:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:30:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:31:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:32:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-12-14 02:33:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-12-14 02:34:00,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,50
