measured_on,ac_current__779,ac_volts__778,dc_neg_current__777,dc_pos_current__775,dc_pos_voltage__774,dc_power__772,system_id
2018-10-17 00:34:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 00:35:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 00:36:00,0.0,,,,,,51
2018-10-17 00:37:00,0.0,,,,,,51
2018-10-17 00:38:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 00:39:00,0.0,,,,,,51
2018-10-17 00:40:00,0.0,,0.0,,,0.0,51
2018-10-17 00:41:00,0.0,,,,,,51
2018-10-17 00:42:00,0.0,,,,,,51
2018-10-17 00:43:00,0.0,,,,,,51
2018-10-17 00:44:00,0.0,,,,0.0,,51
2018-10-17 00:45:00,0.0,,,0.0,,,51
2018-10-17 00:46:00,0.0,,,0.0,,,51
2018-10-17 00:47:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 00:48:00,0.0,,,0.0,0.0,,51
2018-10-17 00:49:00,0.0,,,0.0,0.0,,51
2018-10-17 00:50:00,0.0,,,0.0,,,51
2018-10-17 00:51:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 00:52:00,0.0,,,0.0,,,51
2018-10-17 00:53:00,0.0,,,,0.0,,51
2018-10-17 00:54:00,0.0,,,0.0,0.0,,51
2018-10-17 00:55:00,0.0,,,,0.0,,51
2018-10-17 00:56:00,0.0,,,,0.0,,51
2018-10-17 00:57:00,0.0,,,0.0,,,51
2018-10-17 00:58:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 00:59:00,0.0,,,0.0,,,51
2018-10-17 01:00:00,0.0,,,,,,51
2018-10-17 01:01:00,0.0,,,0.0,0.0,,51
2018-10-17 01:02:00,0.0,,,,,,51
2018-10-17 01:03:00,0.0,,,0.0,0.0,,51
2018-10-17 01:04:00,0.0,,,,0.0,,51
2018-10-17 01:05:00,0.0,,,,,,51
2018-10-17 01:06:00,0.0,,,,0.0,,51
2018-10-17 01:07:00,0.0,,0.0,,,0.0,51
2018-10-17 01:08:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 01:09:00,0.0,,,,0.0,,51
2018-10-17 01:10:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 01:11:00,0.0,,,,0.0,,51
2018-10-17 01:12:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 01:13:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 01:14:00,0.0,,,0.0,0.0,,51
2018-10-17 01:15:00,0.0,,,,,,51
2018-10-17 01:16:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 01:17:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 01:18:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 01:19:00,0.0,,,,0.0,,51
2018-10-17 01:20:00,0.0,,,,0.0,,51
2018-10-17 01:21:00,0.0,,,,0.0,,51
2018-10-17 01:22:00,0.0,,,0.0,,,51
2018-10-17 01:23:00,0.0,,,,0.0,,51
2018-10-17 01:24:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 01:25:00,0.0,,,0.0,,,51
2018-10-17 01:26:00,0.0,,,,0.0,,51
2018-10-17 01:27:00,0.0,,,,0.0,,51
2018-10-17 01:28:00,0.0,,,0.0,0.0,,51
2018-10-17 01:29:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 01:30:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 01:31:00,0.0,,,,,,51
2018-10-17 01:32:00,0.0,,,0.0,,,51
2018-10-17 01:33:00,0.0,,,,,,51
2018-10-17 01:34:00,0.0,,,,,,51
2018-10-17 01:35:00,0.0,,,0.0,,,51
2018-10-17 01:36:00,0.0,,,0.0,0.0,,51
2018-10-17 01:37:00,0.0,,,,,,51
2018-10-17 01:38:00,0.0,,,,,,51
2018-10-17 01:39:00,0.0,,,0.0,0.0,,51
2018-10-17 01:40:00,0.0,,,0.0,,,51
2018-10-17 01:41:00,0.0,,0.0,,,0.0,51
2018-10-17 01:42:00,0.0,,,0.0,,,51
2018-10-17 01:43:00,0.0,,,0.0,,,51
2018-10-17 01:44:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 01:45:00,0.0,,,0.0,0.0,,51
2018-10-17 01:46:00,0.0,,,,,,51
2018-10-17 01:47:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 01:48:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 01:49:00,0.0,,,,,,51
2018-10-17 01:50:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 01:51:00,0.0,,,,,,51
2018-10-17 01:52:00,0.0,,0.0,,,0.0,51
2018-10-17 01:53:00,0.0,,,0.0,0.0,,51
2018-10-17 01:54:00,0.0,,,,,,51
2018-10-17 01:55:00,0.0,,,,,,51
2018-10-17 01:56:00,0.0,,,0.0,,,51
2018-10-17 01:57:00,0.0,,,,,,51
2018-10-17 01:58:00,0.0,,,0.0,,,51
2018-10-17 01:59:00,0.0,,,0.0,,,51
2018-10-17 02:00:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 02:01:00,0.0,,,0.0,,,51
2018-10-17 02:02:00,0.0,,,,0.0,,51
2018-10-17 02:03:00,0.0,,,0.0,,,51
2018-10-17 02:04:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 02:05:00,0.0,,,,,,51
2018-10-17 02:06:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 02:07:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 02:08:00,0.0,,,,,,51
2018-10-17 02:09:00,0.0,,,0.0,0.0,,51
2018-10-17 02:10:00,0.0,,,0.0,,,51
2018-10-17 02:11:00,0.0,,,,0.0,,51
2018-10-17 02:12:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 02:13:00,0.0,,0.0,,,0.0,51
2018-10-17 02:14:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 02:15:00,0.0,,,0.0,,,51
2018-10-17 02:16:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 02:17:00,0.0,,,,,,51
2018-10-17 02:18:00,0.0,,,0.0,0.0,,51
2018-10-17 02:19:00,0.0,,,0.0,,,51
2018-10-17 02:20:00,0.0,,,0.0,0.0,,51
2018-10-17 02:21:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 02:22:00,0.0,,,0.0,,,51
2018-10-17 02:23:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 02:24:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 02:25:00,0.0,,,0.0,,,51
2018-10-17 02:26:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 02:27:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 02:28:00,0.0,,,,0.0,,51
2018-10-17 02:29:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 02:30:00,0.0,,0.0,,,0.0,51
2018-10-17 02:31:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 02:32:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 02:33:00,0.0,,,,0.0,,51
2018-10-17 02:34:00,0.0,,,,,,51
2018-10-17 02:35:00,0.0,,,0.0,0.0,,51
2018-10-17 02:36:00,0.0,,,0.0,,,51
2018-10-17 02:37:00,0.0,,,0.0,0.0,,51
2018-10-17 02:38:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 02:39:00,0.0,,,0.0,,,51
2018-10-17 02:40:00,0.0,,0.0,,,0.0,51
2018-10-17 02:41:00,0.0,,,,,,51
2018-10-17 02:42:00,0.0,,,,,,51
2018-10-17 02:43:00,0.0,,0.0,,,0.0,51
2018-10-17 02:44:00,0.0,,,,0.0,,51
2018-10-17 02:45:00,0.0,,,0.0,0.0,,51
2018-10-17 02:46:00,0.0,,,0.0,,,51
2018-10-17 02:47:00,0.0,,,,,,51
2018-10-17 02:48:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 02:49:00,0.0,,,,0.0,,51
2018-10-17 02:50:00,0.0,,0.0,,,0.0,51
2018-10-17 02:51:00,0.0,,0.0,,,0.0,51
2018-10-17 02:52:00,0.0,120.0,,,0.0,,51
2018-10-17 02:53:00,0.0,,0.0,,0.0,0.0,51
2018-10-17 02:54:00,0.0,,0.0,0.0,,0.0,51
2018-10-17 02:55:00,0.0,,,0.0,0.0,,51
2018-10-17 02:56:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 02:57:00,0.0,,,0.0,,,51
2018-10-17 02:58:00,0.0,,0.0,0.0,0.0,0.0,51
2018-10-17 02:59:00,0.0,,,,0.0,,51
