,ac_power_inv_17361_daily_max,ac_power_inv_17361_daily_mean
2018-07-04,2.022,0.7128715083798882
2018-07-05,1.898,0.8698131868131869
2018-07-06,1.989,1.010574585635359
2018-07-07,2.002,1.0129668508287293
2018-07-08,1.979,0.9992692307692307
2018-07-09,2.059,0.9362802197802197
2018-07-10,1.964,0.9123575418994414
2018-07-11,0.777,0.08273142857142855
2018-07-12,1.753,0.8465197740112994
2018-07-13,1.858,0.9678470588235294
2018-07-14,1.606,0.5129039548022598
2018-07-15,1.955,0.7885730337078651
2018-07-16,1.926,0.7706983240223463
2018-07-17,1.955,0.943067415730337
2018-07-18,2.039,0.8938305084745762
2018-07-19,1.661,0.547242774566474
2018-07-20,1.4169999999999998,0.4619885057471264
2018-07-21,1.832,0.6099080459770114
2018-07-22,0.7979999999999999,0.3447209302325581
2018-07-23,2.045,0.8378079096045198
2018-07-24,2.027,0.9768305084745763
2018-07-25,1.882,0.9686896551724138
2018-07-26,2.084,0.8787413793103449
2018-07-27,2.005,0.8528390804597702
2018-07-28,1.961,0.7649310344827586
2018-07-29,1.94,0.7621860465116279
2018-07-30,1.893,0.8178208092485549
2018-07-31,1.902,0.8751220930232557
2018-08-01,1.936,0.817608187134503
2018-08-02,1.985,0.7884210526315789
2018-08-03,1.861,0.8722456140350877
2018-08-04,1.9,0.8525232558139534
2018-08-05,1.886,0.7795333333333333
2018-08-06,1.901,0.5499515151515151
2018-08-07,1.281,0.355422619047619
2018-08-08,1.986,0.833220238095238
2018-08-09,1.953,0.9815449101796407
2018-08-10,1.902,0.8101317365269461
2018-08-11,1.892,0.9284821428571428
2018-08-12,1.77,0.8860654761904763
2018-08-13,1.881,0.8709036144578313
2018-08-14,1.774,0.7192969696969697
2018-08-15,1.528,0.491660606060606
2018-08-16,1.5719999999999998,0.53935625
2018-08-17,1.864,0.8720617283950617
2018-08-18,1.867,0.8487037037037037
2018-08-19,1.815,0.8752654320987655
2018-08-20,1.599,0.2887625
2018-08-21,1.82,0.6373148148148148
2018-08-22,1.94,1.000079754601227
2018-08-23,2.03,1.0158198757763974
2018-08-24,0.92,0.18872602739726024
2018-08-25,1.848,0.8557232704402515
2018-08-26,1.869,0.8190931677018634
2018-08-27,1.588,0.6591937499999999
2018-08-28,1.839,0.4159096774193548
2018-08-29,1.9,0.7489354838709678
2018-08-30,2.079,0.9342955974842767
2018-08-31,1.825,0.7906474358974359
2018-09-01,1.952,0.6865298507462686
2018-09-02,1.904,0.794046357615894
2018-09-03,1.567,0.370718954248366
2018-09-04,1.85,0.8157058823529412
2018-09-05,1.817,0.5265960264900662
2018-09-06,0.53,0.17558389261744964
2018-09-07,0.5909999999999999,0.22568707482993194
2018-09-08,1.196,0.43637012987012985
2018-09-09,2.044,1.0924473684210525
2018-09-10,1.987,1.0462549019607843
2018-09-11,1.946,1.0365424836601307
2018-09-12,1.916,1.0188874172185431
2018-09-13,1.903,1.0108675496688742
2018-09-14,1.861,0.9848684210526315
2018-09-15,1.861,0.9901866666666667
2018-09-16,1.97,0.8578187919463087
2018-09-17,1.943,0.9012666666666667
2018-09-18,1.205,0.31555244755244755
2018-09-19,0.831,0.2810408163265306
2018-09-20,1.801,0.8422291666666666
2018-09-21,1.776,0.7365902777777777
2018-09-22,1.973,1.0823055555555556
2018-09-23,1.963,1.0494315068493152
2018-09-24,2.05,0.64525
2018-09-25,2.08,0.4553142857142857
2018-09-26,1.958,0.7508367346938775
2018-09-27,2.027,1.0143426573426573
2018-09-28,0.6779999999999999,0.1379642857142857
2018-09-29,0.4189999999999999,0.21706617647058818
2018-09-30,0.3979999999999999,0.16400740740740738
2018-10-01,1.4280000000000002,0.4165703703703703
2018-10-02,1.584,0.43642537313432833
2018-10-03,1.885,0.9122785714285714
2018-10-04,2.085,1.1072949640287768
2018-10-05,0.4779999999999999,0.1877829457364341
2018-10-06,0.813,0.2229923664122137
2018-10-07,0.26,0.10960150375939846
2018-10-08,1.832,0.9185555555555556
2018-10-09,1.4469999999999998,0.631610294117647
2018-10-10,1.737,0.3588345864661654
2018-10-11,1.901,0.9188897058823529
2018-10-12,0.514,0.18175555555555553
2018-10-13,1.457,0.4512
2018-10-14,0.332,0.17740769230769227
2018-10-15,2.0780000000000003,1.1234925373134328
2018-10-16,2.072,1.0982611940298508
2018-10-17,2.023,1.0828
2018-10-18,1.999,1.0689924812030074
2018-10-19,0.492,0.17632031249999996
2018-10-20,2.184,0.9529699248120301
2018-10-21,2.077,1.1115230769230768
2018-10-22,1.965,0.9806201550387597
2018-10-23,1.93,1.0481153846153846
2018-10-24,1.931,0.9354031007751938
2018-10-25,0.745,0.28787199999999996
2018-10-26,0.497,0.2349512195121951
2018-10-27,0.631,0.23196874999999997
2018-10-28,0.261,0.11916129032258062
2018-10-29,1.85,0.9194645669291339
2018-10-30,0.907,0.32244444444444437
2018-10-31,1.511,0.6025573770491803
2018-11-01,0.541,0.21864999999999996
2018-11-02,1.158,0.464232
2018-11-03,0.535,0.1448455284552845
2018-11-04,0.133,0.05372268907563022
2018-11-05,1.679,0.2630655737704918
2018-11-06,0.4639999999999999,0.1585172413793103
2018-11-07,0.826,0.21755462184873947
2018-11-08,0.3539999999999999,0.19613559322033894
2018-11-09,1.743,0.45096428571428565
2018-11-10,1.93,0.8934380165289256
2018-11-11,1.849,0.8692203389830508
2018-11-12,0.444,0.18863793103448273
2018-11-13,1.927,1.0770593220338984
2018-11-14,1.855,0.9999833333333333
2018-11-15,1.554,0.47458974358974354
2018-11-16,0.264,0.12439473684210522
2018-11-17,0.427,0.10282727272727268
2018-11-18,1.886,0.7767719298245613
2018-11-19,1.821,0.6771327433628318
2018-11-20,2.006,0.9232413793103448
2018-11-21,1.71,0.6631709401709401
2018-11-22,1.727,0.9132844827586207
2018-11-23,1.029,0.3133739130434782
2018-11-24,1.648,0.42040869565217387
2018-11-25,0.062,0.02149484536082473
2018-11-26,0.011,0.005899999999999994
2018-11-27,0.0579999999999999,0.02703092783505152
2018-11-28,0.036,0.015306122448979569
2018-11-29,0.775,0.24178095238095235
2018-11-30,1.693,0.6898521739130434
2018-12-01,0.203,0.07800961538461536
2018-12-02,0.136,0.061198113207547145
2018-12-03,0.568,0.12433653846153844
2018-12-04,0.3829999999999999,0.09408411214953268
2018-12-05,1.816,0.6842727272727273
2018-12-06,1.837,0.7839363636363635
2018-12-07,1.848,0.9414513274336284
2018-12-08,0.7859999999999999,0.24976576576576573
2018-12-09,1.754,0.8999298245614035
2018-12-10,1.71,0.8386637168141592
2018-12-11,1.712,0.7936696428571429
2018-12-12,1.072,0.34354629629629624
2018-12-13,1.611,0.4018411214953271
2018-12-14,0.316,0.14270909090909087
2018-12-15,1.7380000000000002,0.9358303571428571
2018-12-16,1.724,0.789359649122807
2018-12-17,1.73,0.9388648648648649
2018-12-18,1.768,0.9380714285714286
2018-12-19,1.709,0.5016238532110092
2018-12-20,0.1449999999999999,0.05193333333333331
2018-12-21,0.176,0.0938235294117647
2018-12-22,0.377,0.15151428571428568
2018-12-23,1.71,0.6035135135135135
2018-12-24,1.702,0.7694414414414414
2018-12-25,1.592,0.7124495412844036
2018-12-26,1.099,0.39665137614678897
2018-12-27,0.0559999999999999,0.024505154639175228
2018-12-28,0.2189999999999999,0.08606542056074763
2018-12-29,0.047,0.02628124999999998
2018-12-30,1.872,0.9480370370370371
2018-12-31,0.3029999999999999,0.0503232323232323
