measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_1__429,poa_irradiance__421,system_id
2022-11-27 01:19:00,-2.0729,-73.94,-6.3144,0.3453999999999999,10.623,16.235,-0.6360099999999999,-17.749,11.278,,-8.044499999999998,10
2022-11-27 01:20:00,-2.0847,-74.524,-6.1441,0.35754,10.761,16.157,-0.6429599999999999,-17.047,10.96,,-8.1219,10
2022-11-27 01:21:00,-2.067,-73.91899999999998,-6.547,0.37679,10.775,16.217,-0.6511599999999999,-17.646,11.491,,-8.3029,10
2022-11-27 01:22:00,-2.0919,-75.0,-6.2826,0.3922499999999999,10.595,16.21,-0.64751,-17.441,11.292,,-7.994,10
2022-11-27 01:23:00,-2.1026,-75.17,-6.2021,0.3876999999999999,10.526,16.176,-0.6571099999999999,-16.643,10.946,,-7.994,10
2022-11-27 01:24:00,-2.1131,-76.08799999999998,-6.3135,0.3889599999999999,10.804,16.229,-0.6656499999999999,-16.785,11.161,,-8.1241,10
2022-11-27 01:25:00,-2.0938,-75.13899999999998,-6.4547,0.3977999999999999,10.483,16.168,-0.65419,-17.538,11.462,,-8.1769,10
2022-11-27 01:26:00,-2.1232,-76.513,-6.3761,0.38793,10.653,16.17,-0.66632,-17.241,11.48,,-8.151099999999998,10
2022-11-27 01:27:00,-2.1044,-75.315,-6.3163,0.40281,10.504,16.234,-0.64976,-17.461,11.346,,-8.1772,10
2022-11-27 01:28:00,-2.0798,-74.19199999999998,-6.3047,0.41648,11.038,16.264,-0.65209,-17.182,11.206,,-8.099999999999998,10
2022-11-27 01:29:00,-2.0967,-75.34999999999998,-6.4251,0.41269,10.61,16.225,-0.6545999999999998,-17.484,11.447,,-7.9968,10
2022-11-27 01:30:00,-2.0852,-74.64799999999998,-6.2785,0.4279899999999999,10.735,16.249,-0.64765,-17.139,11.094,,-8.102399999999998,10
2022-11-27 01:31:00,-2.1154,-75.986,-6.463,0.41397,10.629,16.162,-0.66117,-17.509,11.577,,-8.000299999999998,10
2022-11-27 01:32:00,-2.1117,-75.446,-6.1947,0.4147299999999999,10.409,16.2,-0.64532,-17.341,11.182,,-8.026099999999998,10
2022-11-27 01:33:00,-2.0634,-73.699,-6.5379,0.43313,10.895,16.245,-0.648,-17.902,11.594,,-7.7389,10
2022-11-27 01:34:00,-2.1119,-75.77599999999998,-6.1116,0.43064,10.726,16.153,-0.6515199999999999,-16.775,10.921,,-7.9183,10
2022-11-27 01:35:00,-2.0987,-75.182,-6.2382,0.43369,10.559,16.201,-0.6516899999999999,-17.017,11.093,,-8.0214,10
2022-11-27 01:36:00,-2.0573,-73.11799999999998,-6.1513,0.46525,10.521,16.234,-0.62905,-17.331,10.903,,-7.892299999999999,10
2022-11-27 01:37:00,-2.0944,-75.03,-6.4268,0.4441999999999999,10.689,16.191,-0.64714,-17.989,11.646,,-7.9696,10
2022-11-27 01:38:00,-2.0511,-73.26999999999998,-6.34,0.47613,10.546,16.196,-0.6362799999999998,-17.415,11.081,,-7.8406,10
2022-11-27 01:39:00,-2.0569,-73.23099999999998,-6.4646,0.45771,10.733,16.245,-0.6368399999999999,-17.925,11.42,,-7.738699999999999,10
2022-11-27 01:40:00,-2.0759,-74.286,-6.5832,0.4842799999999999,10.761,16.139,-0.65126,-17.826,11.609,,-7.868,10
2022-11-27 01:41:00,-2.0504,-73.077,-6.3292,0.48352,10.783,16.236,-0.6323699999999999,-17.649,11.167,,-7.7906,10
2022-11-27 01:42:00,-2.0968,-75.266,-6.2764,0.44679,10.86,16.26,-0.65569,-16.928,11.097,,-7.944,10
2022-11-27 01:43:00,-2.1033,-75.56,-6.4326,0.43475,10.714,16.21,-0.6573999999999999,-17.586,11.55,,-7.814899999999998,10
2022-11-27 01:44:00,-2.0635,-73.50799999999998,-6.13,0.4248799999999999,10.671,16.194,-0.63014,-17.198,10.827,,-7.918,10
2022-11-27 01:45:00,-2.1156,-76.021,-6.2229,0.4267199999999999,10.488,16.223,-0.6575499999999999,-16.93,11.122,,-7.8666,10
2022-11-27 01:46:00,-2.1014,-75.64799999999998,-6.2678,0.43356,10.452,16.154,-0.65946,-16.687,11.006,,-7.8408,10
2022-11-27 01:47:00,-2.0826,-74.623,-6.2829,0.4344399999999999,10.673,16.231,-0.64236,-17.373,11.163,,-7.9701,10
2022-11-27 01:48:00,-2.1059,-75.602,-6.2755,0.45477,10.811,16.255,-0.6581799999999999,-16.967,11.16,,-8.0249,10
2022-11-27 01:49:00,-2.0924,-74.929,-6.3237,0.44945,10.635,16.169,-0.6528,-17.199,11.219,,-8.282899999999998,10
2022-11-27 01:50:00,-2.095,-75.19799999999998,-6.2863,0.4517399999999999,10.741,16.226,-0.64942,-17.358,11.273,,-7.869799999999999,10
2022-11-27 01:51:00,-2.0703,-73.802,-6.2232,0.4168,10.863,16.239,-0.63861,-17.222,10.989,,-7.7394,10
2022-11-27 01:52:00,-2.1167,-75.92499999999998,-6.2851,0.42592,10.726,16.236,-0.6602299999999999,-17.064,11.257,,-7.971599999999999,10
2022-11-27 01:53:00,-2.0436,-72.62099999999998,-6.246,0.4396399999999999,10.951,16.247,-0.62816,-17.569,11.035,,-7.9465,10
2022-11-27 01:54:00,-2.0735,-74.2,-6.3322,0.4353099999999999,10.751,16.257,-0.65303,-16.967,11.08,,-7.5626,10
2022-11-27 01:55:00,-2.1286,-76.79399999999998,-6.3649,0.4421499999999999,10.897,16.196,-0.67808,-16.741,11.351,,-8.0272,10
2022-11-27 01:56:00,-2.0985,-75.218,-6.2917,0.4521299999999999,10.547,16.199,-0.65225,-16.953,11.052,,-7.793999999999999,10
2022-11-27 01:57:00,-2.061,-73.45099999999998,-6.3749,0.44788,10.926,16.25,-0.6406199999999999,-17.581,11.267,,-7.5077,10
2022-11-27 01:58:00,-2.0645,-73.75199999999998,-6.2706,0.45167,10.742,16.264,-0.6446199999999999,-17.195,11.091,,-7.6367,10
2022-11-27 01:59:00,-2.1158,-76.095,-6.5398,0.44507,10.578,16.205,-0.66671,-17.558,11.707,,-7.7666,10
2022-11-27 02:00:00,-2.0527,-73.05899999999998,-6.2587,0.4842799999999999,10.816,16.241,-0.63348,-17.331,10.971,,-7.5621,10
2022-11-27 02:01:00,-2.0638,-73.625,-6.4263,0.4743899999999999,10.72,16.162,-0.63868,-17.833,11.397,,-7.510399999999998,10
2022-11-27 02:02:00,-2.0456,-72.632,-6.2527,0.48198,10.539,16.28,-0.62621,-17.63,11.037,,-7.6909,10
2022-11-27 02:03:00,-2.055,-73.043,-6.3318,0.48091,10.69,16.318,-0.63148,-17.723,11.195,,-7.6906,10
2022-11-27 02:04:00,-2.0909,-74.7,-6.0772,0.47786,10.696,16.236,-0.64221,-16.93,10.877,,-7.6906,10
2022-11-27 02:05:00,-2.1105,-75.759,-6.1218,0.4591,10.786,16.265,-0.65059,-16.822,10.941,,-7.691099999999999,10
2022-11-27 02:06:00,-2.0742,-73.933,-6.1824,0.46843,10.691,16.325,-0.6376699999999998,-17.295,11.024,,-7.6142,10
2022-11-27 02:07:00,-2.0493,-72.89799999999998,-6.2822,0.4722299999999999,10.833,16.311,-0.62717,-17.645,11.066,,-7.7691,10
2022-11-27 02:08:00,-2.127,-76.43099999999998,-6.2966,0.4117799999999999,10.646,16.408,-0.66461,-17.015,11.314,,-7.7417,10
2022-11-27 02:09:00,-2.1005,-75.60599999999998,-6.3066,0.45228,10.638,16.211,-0.66244,-16.747,11.097,,-7.6885,10
2022-11-27 02:10:00,-2.0656,-73.92,-6.309,0.43407,10.691,16.22,-0.63765,-17.636,11.241,,-7.6627,10
2022-11-27 02:11:00,0.1469999999999999,-63.214,-6.1058,0.5402099999999999,10.346,14.653,-0.56706,-16.449,9.3272,,-6.3734,10
2022-11-27 02:12:00,-2.0714,-74.045,-6.2576,0.47021,10.868,16.207,-0.6459,-17.102,11.035,,-7.7675,10
2022-11-27 02:13:00,-2.0676,-73.70999999999998,-6.2123,0.45655,10.549,16.158,-0.6425199999999999,-17.046,10.937,,-7.7675,10
2022-11-27 02:14:00,-2.1176,-76.16299999999998,-6.3015,0.4520199999999999,10.497,16.213,-0.66213,-17.098,11.331,,-7.5622,10
2022-11-27 02:15:00,-2.1025,-75.197,-6.2095,0.45432,10.72,16.153,-0.6463999999999999,-17.325,11.2,,-7.5369,10
2022-11-27 02:16:00,-2.0425,-72.42,-6.2326,0.46192,10.62,16.223,-0.62822,-17.442,10.96,,-7.6401,10
2022-11-27 02:17:00,-2.0514,-73.05599999999998,-6.1536,0.47202,10.95,16.237,-0.63854,-16.937,10.806,,-7.5374,10
2022-11-27 02:18:00,-2.1087,-75.74299999999998,-6.2791,0.46755,10.564,16.173,-0.6617699999999999,-16.843,11.15,,-7.563399999999999,10
2022-11-27 02:19:00,-2.0891,-74.76,-6.2504,0.4326099999999999,10.826,16.273,-0.64644,-17.27,11.158,,-7.6925,10
2022-11-27 02:20:00,-1.3907,-75.536,-6.1547,0.45817,10.743,15.868,-0.6526699999999999,-16.817,10.989,,-7.384,10
2022-11-27 02:21:00,-0.97046,-72.78799999999998,-6.2205,0.5089099999999999,10.439,15.666,-0.63321,-17.092,10.837,,-7.280999999999999,10
2022-11-27 02:22:00,-2.1282,-76.212,-6.3782,0.34626,10.734,16.595,-0.6565499999999999,-17.575,11.529,,-8.4428,10
2022-11-27 02:23:00,-2.0951,-75.20699999999998,-6.5143,0.7175,10.628,16.27,-0.65975,-17.48,11.527,,-7.8042,10
2022-11-27 02:24:00,-0.0848899999999999,-104.26,-6.0845,0.96136,10.546,14.895,-0.8803199999999999,-16.193,14.188,,-6.6433,10
2022-11-27 02:25:00,-0.983,-76.206,-6.2781,0.8562499999999998,10.53,15.359,-0.67342,-16.529,11.147,,-6.982,10
2022-11-27 02:26:00,-2.0683,-73.836,-6.1097,0.80429,10.906,16.131,-0.64319,-16.807,10.811,,-7.7114,10
2022-11-27 02:27:00,-2.0941,-75.087,-6.4906,0.7840099999999999,10.489,16.137,-0.65619,-17.532,11.501,,-7.8156,10
2022-11-27 02:28:00,-2.068,-73.888,-6.1576,0.81623,10.859,16.137,-0.6446,-16.82,10.834,,-7.5029,10
2022-11-27 02:29:00,-2.0994,-75.117,-6.2768,0.71082,10.731,16.205,-0.65314,-17.178,11.21,,-7.564899999999998,10
2022-11-27 02:30:00,-2.0879,-75.003,-6.1664,0.7322499999999998,10.667,16.168,-0.65576,-16.564,10.858,,-7.7209,10
2022-11-27 02:31:00,-2.0702,-73.96599999999998,-6.3911,0.7269499999999999,10.563,16.22,-0.6489899999999998,-17.211,11.171,,-7.6421,10
2022-11-27 02:32:00,-2.0609,-73.485,-6.2091,0.6953599999999999,10.49,16.242,-0.6419099999999999,-16.806,10.776,,-7.840099999999999,10
2022-11-27 02:33:00,-2.1063,-75.599,-6.2121,0.69077,10.747,16.229,-0.66764,-16.553,11.046,,-7.7623,10
2022-11-27 02:34:00,-2.0724,-73.73,-6.1946,0.64178,10.536,16.236,-0.6278799999999999,-17.512,10.992,,-7.5796,10
2022-11-27 02:35:00,-2.1004,-75.188,-6.0862,0.57959,10.698,16.278,-0.6531099999999999,-16.724,10.908,,-7.7825,10
2022-11-27 02:36:00,-2.0681,-73.76099999999998,-6.3238,0.55669,10.838,16.291,-0.6378599999999999,-17.741,11.33,,-7.8084,10
2022-11-27 02:37:00,-2.0483,-72.99299999999998,-6.1795,0.5461099999999999,10.858,16.298,-0.6269799999999999,-17.357,10.881,,-7.8068,10
2022-11-27 02:38:00,-2.0903,-74.73999999999998,-6.2182,0.4680199999999999,10.641,16.362,-0.65048,-16.937,11.008,,-7.6695,10
